Red,Green,Blue
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.224,0.448,0.328
0.224,0.448,0.328
0.224,0.448,0.328
0.211,0.456,0.333
0.224,0.448,0.328
0.211,0.456,0.333
0.224,0.448,0.328
0.224,0.448,0.328
0.211,0.456,0.333
0.211,0.456,0.333
0.224,0.448,0.328
0.211,0.456,0.333
0.224,0.448,0.328
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.224,0.448,0.328
0.224,0.448,0.328
0.224,0.448,0.328
0.224,0.448,0.328
0.211,0.456,0.333
0.211,0.456,0.333
0.224,0.448,0.328
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.224,0.448,0.328
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.224,0.448,0.328
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.211,0.456,0.333
0.224,0.448,0.328
0.224,0.448,0.328
0.224,0.448,0.328
0.211,0.456,0.333
0.224,0.448,0.328
0.224,0.448,0.328
0.224,0.448,0.328
0.224,0.448,0.328
0.224,0.448,0.328
0.224,0.448,0.328
0.224,0.448,0.328
0.224,0.448,0.328
0.22,0.441,0.339
0.22,0.441,0.339
0.22,0.441,0.339
0.22,0.441,0.339
0.217,0.45,0.333
0.22,0.441,0.339
0.217,0.45,0.333
0.22,0.441,0.339
0.22,0.441,0.339
0.22,0.441,0.339
0.22,0.441,0.339
0.22,0.441,0.339
0.22,0.441,0.339
0.22,0.441,0.339
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.226,0.452,0.323
0.222,0.444,0.333
0.222,0.444,0.333
0.227,0.439,0.333
0.219,0.453,0.328
0.222,0.444,0.333
0.23,0.443,0.328
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.217,0.45,0.333
0.22,0.441,0.339
0.224,0.448,0.328
0.211,0.456,0.333
0.211,0.456,0.333
0.214,0.446,0.339
0.218,0.455,0.327
0.218,0.455,0.327
0.218,0.455,0.327
0.204,0.463,0.333
0.204,0.463,0.333
0.218,0.455,0.327
0.204,0.463,0.333
0.204,0.463,0.333
0.218,0.455,0.327
0.204,0.463,0.333
0.218,0.455,0.327
0.204,0.463,0.333
0.204,0.463,0.333
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.218,0.455,0.327
0.218,0.455,0.327
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.204,0.463,0.333
0.218,0.455,0.327
0.204,0.463,0.333
0.204,0.463,0.333
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
0.208,0.453,0.34
